Alpha3,Country,Year,Fitch,Moody,S&P
ARE,United Arab Emirates,2011,3.0,3.148316626601536,3.0
ARE,United Arab Emirates,2012,3.0,3.148316626601536,3.0
ARE,United Arab Emirates,2013,3.0,3.148316626601536,3.0
ARE,United Arab Emirates,2014,3.0,3.148316626601536,3.0
ARE,United Arab Emirates,2015,3.0,3.148316626601536,3.0
ARE,United Arab Emirates,2016,3.0,3.0,3.0
ARE,United Arab Emirates,2017,3.0,3.0,3.0
ARE,United Arab Emirates,2018,6.0,3.0,3.0
ARE,United Arab Emirates,2019,6.0,3.0,3.0
ARE,United Arab Emirates,2020,4.0,3.0,3.0
ARE,United Arab Emirates,2021,3.721712389588223,3.0,3.0
ARE,United Arab Emirates,2022,3.721712389588223,3.0,3.0
ARE,United Arab Emirates,2023,3.721712389588223,3.0,3.0
ARE,United Arab Emirates,2024,3.392602010517185,3.1024460666475107,3.0
ARG,Argentina,2006,13.0,12.0,15.761784282509822
ARG,Argentina,2007,13.0,12.625,15.99361504430492
ARG,Argentina,2008,12.0,13.25,16.56593934590929
ARG,Argentina,2009,13.0,14.565280725576628,16.711828172042104
ARG,Argentina,2010,15.0,13.437758286429125,15.0
ARG,Argentina,2011,15.0,13.810358900128351,15.5
ARG,Argentina,2012,15.0,14.182959513827578,16.0
ARG,Argentina,2013,13.0,14.780026725472508,17.0
ARG,Argentina,2014,13.0,17.0,19.0
ARG,Argentina,2015,14.0,13.0,17.5
ARG,Argentina,2016,14.0,14.0,16.0
ARG,Argentina,2017,14.0,16.0,15.0
ARG,Argentina,2018,14.0,14.0,15.0
ARG,Argentina,2019,14.0,13.0,16.0
ARG,Argentina,2020,13.0,20.0,19.0
ARG,Argentina,2021,16.0,13.0,14.0
ARG,Argentina,2022,19.0,13.0,14.0
ARG,Argentina,2023,21.0,13.0,14.0
ARG,Argentina,2024,12.647245685608734,15.499100496288383,18.0
ARM,Armenia,2006,13.187576774152864,12.0,14.0
ARM,Armenia,2007,13.232003589733228,12.11111111111111,14.0
ARM,Armenia,2008,13.276430405313596,12.22222222222222,14.0
ARM,Armenia,2009,13.57371270094832,12.965722870426076,14.0
ARM,Armenia,2010,13.57371270094832,12.965722870426076,14.0
ARM,Armenia,2011,13.57371270094832,12.965722870426076,14.0
ARM,Armenia,2012,13.57371270094832,12.965722870426076,14.0
ARM,Armenia,2013,13.57371270094832,12.965722870426076,14.0
ARM,Armenia,2014,13.0,12.221063982205685,14.0
ARM,Armenia,2015,14.0,13.0,14.0
ARM,Armenia,2016,14.0,14.0,14.0
ARM,Armenia,2017,14.0,14.0,14.0
ARM,Armenia,2018,14.0,14.0,14.0
ARM,Armenia,2019,14.0,13.0,14.0
ARM,Armenia,2020,13.0,13.0,14.0
ARM,Armenia,2021,13.587418114376169,13.0,14.0
ARM,Armenia,2022,13.587418114376169,13.0,14.0
ARM,Armenia,2023,13.587418114376169,13.0,14.0
ARM,Armenia,2024,13.57371270094832,12.965722870426076,14.0
AUS,Australia,2006,1.5412468132662949,1.5198934023483508,1.7419888558940106
AUS,Australia,2007,1.5412468132662949,1.5198934023483508,1.7419888558940106
AUS,Australia,2008,1.5412468132662949,1.5198934023483508,1.7419888558940106
AUS,Australia,2009,1.5412468132662949,1.5198934023483508,1.7419888558940106
AUS,Australia,2010,1.5412468132662949,1.5198934023483508,1.7419888558940106
AUS,Australia,2011,1.0,1.1208902699386734,1.8393835050099092
AUS,Australia,2012,1.0,1.43918882821544,2.0
AUS,Australia,2013,1.0,1.2184285347227697,1.8888888888888888
AUS,Australia,2014,1.0,1.0,1.7777777777777777
AUS,Australia,2015,2.0,1.0,1.2269948716767276
AUS,Australia,2016,2.0,2.0,1.730959787832567
AUS,Australia,2017,2.0,2.0,1.730959787832567
AUS,Australia,2018,2.0,2.0,1.730959787832567
AUS,Australia,2019,2.0,2.0,1.730959787832567
AUS,Australia,2020,2.0,2.0,1.730959787832567
AUS,Australia,2021,2.868756489035317,1.5,1.0
AUS,Australia,2022,0.5984823221148816,1.0,2.0
AUS,Australia,2023,1.5117342524630375,2.0,2.0
AUS,Australia,2024,0.5984823221148816,1.0,2.0
AUT,Austria,2006,1.683204100493063,1.090313854086449,1.7895807371475083
AUT,Austria,2007,1.683204100493063,1.090313854086449,1.7895807371475083
AUT,Austria,2008,1.683204100493063,1.090313854086449,1.7895807371475083
AUT,Austria,2009,1.683204100493063,1.090313854086449,1.7895807371475083
AUT,Austria,2010,1.683204100493063,1.090313854086449,1.7895807371475083
AUT,Austria,2011,2.0,1.091526429614582,1.7167108249024854
AUT,Austria,2012,1.0,1.1154047579077262,2.0
AUT,Austria,2013,1.0,1.057462769687994,1.8888888888888888
AUT,Austria,2014,1.0,1.0,1.7777777777777777
AUT,Austria,2015,1.0,1.0,1.7784588047493264
AUT,Austria,2016,1.0,1.0,1.7784588047493264
AUT,Austria,2017,1.0,1.0,1.7784588047493264
AUT,Austria,2018,1.0,1.0,1.7784588047493264
AUT,Austria,2019,1.0,1.0,1.7784588047493264
AUT,Austria,2020,1.0,1.0,1.7784588047493264
AUT,Austria,2021,4.280122372227549,1.0,1.0
AUT,Austria,2022,0.0672863911328156,1.0,2.0
AUT,Austria,2023,8.150162252409864,2.0,2.0
AUT,Austria,2024,0.0672863911328156,1.0,2.0
AZE,Azerbaijan,2006,10.657432240119894,11.0,10.708380866492522
AZE,Azerbaijan,2007,11.0,10.833333333333334,11.15265083152727
AZE,Azerbaijan,2008,10.666666666666666,10.666666666666666,11.0
AZE,Azerbaijan,2009,10.333333333333334,10.188729681445867,10.666666666666666
AZE,Azerbaijan,2010,10.0,9.968996489474748,10.333333333333334
AZE,Azerbaijan,2011,10.0,10.663482457042589,10.0
AZE,Azerbaijan,2012,10.0,10.0,10.2
AZE,Azerbaijan,2013,10.0,10.0,10.4
AZE,Azerbaijan,2014,10.0,10.0,10.312938406304555
AZE,Azerbaijan,2015,10.0,10.0,10.312938406304555
AZE,Azerbaijan,2016,11.0,11.0,11.0
AZE,Azerbaijan,2017,11.0,11.0,11.0
AZE,Azerbaijan,2018,11.0,11.5,11.0
AZE,Azerbaijan,2019,11.0,12.0,10.748542439859753
AZE,Azerbaijan,2020,11.0,12.0,10.748542439859753
AZE,Azerbaijan,2021,11.22090457318016,12.0,11.0
AZE,Azerbaijan,2022,10.657432240119894,11.0,10.708380866492522
AZE,Azerbaijan,2023,10.657432240119894,11.0,10.708380866492522
AZE,Azerbaijan,2024,10.657432240119894,11.0,10.708380866492522
BEL,Belgium,2006,2.0,4.0,3.0
BEL,Belgium,2007,2.0,4.0,3.0
BEL,Belgium,2008,2.0,4.0,3.0
BEL,Belgium,2009,3.0,4.0,3.0
BEL,Belgium,2010,3.0,4.0,3.0
BEL,Belgium,2011,2.0,4.0,3.0
BEL,Belgium,2012,3.0,4.0,3.0
BEL,Belgium,2013,3.0,4.0,3.0
BEL,Belgium,2014,3.0,4.0,3.0
BEL,Belgium,2015,3.0,4.0,3.0
BEL,Belgium,2016,3.0,4.0,3.0
BEL,Belgium,2017,4.0,4.0,3.0
BEL,Belgium,2018,4.0,4.0,3.0
BEL,Belgium,2019,4.0,4.0,3.0
BEL,Belgium,2020,4.0,4.0,3.0
BEL,Belgium,2021,3.0,4.0,3.0
BEL,Belgium,2022,3.0,4.0,3.0
BEL,Belgium,2023,3.0,4.0,3.0
BEL,Belgium,2024,3.0,4.0,3.0
BGD,Bangladesh,2006,13.0,13.21428571428571,13.044160919815887
BGD,Bangladesh,2007,13.0,13.21428571428571,13.044160919815887
BGD,Bangladesh,2008,13.0,13.21428571428571,13.044160919815887
BGD,Bangladesh,2009,13.0,13.21428571428571,13.044160919815887
BGD,Bangladesh,2010,13.0,13.0,13.0
BGD,Bangladesh,2011,13.0,13.0,13.0
BGD,Bangladesh,2012,13.0,13.0,13.0
BGD,Bangladesh,2013,13.0,13.21428571428571,13.044160919815887
BGD,Bangladesh,2014,13.0,13.0,12.95758365304694
BGD,Bangladesh,2015,13.0,13.0,12.95758365304694
BGD,Bangladesh,2016,13.0,13.0,12.95758365304694
BGD,Bangladesh,2017,13.0,13.0,12.95758365304694
BGD,Bangladesh,2018,13.0,13.0,12.95758365304694
BGD,Bangladesh,2019,13.0,13.0,12.95758365304694
BGD,Bangladesh,2020,13.0,13.0,12.95758365304694
BGD,Bangladesh,2021,13.0,13.0,12.95758365304694
BGD,Bangladesh,2022,13.0,13.0,12.95758365304694
BGD,Bangladesh,2023,13.0,14.0,13.0
BGD,Bangladesh,2024,13.0,15.0,14.0
BGR,Bulgaria,2006,9.637724870616548,10.0,10.009978174484154
BGR,Bulgaria,2007,9.640007438355507,9.8,9.931190287356198
BGR,Bulgaria,2008,9.0,9.6,9.0
BGR,Bulgaria,2009,10.0,7.773630780338256,9.166666666666666
BGR,Bulgaria,2010,10.0,8.050716398590753,9.333333333333334
BGR,Bulgaria,2011,10.0,9.0,9.857034464536856
BGR,Bulgaria,2012,10.0,9.0,9.857034464536856
BGR,Bulgaria,2013,10.0,9.0,9.857034464536856
BGR,Bulgaria,2014,10.0,9.159058871600733,10.0
BGR,Bulgaria,2015,10.0,9.0,10.0
BGR,Bulgaria,2016,10.0,9.0,10.0
BGR,Bulgaria,2017,10.0,9.0,10.0
BGR,Bulgaria,2018,9.0,9.0,9.5
BGR,Bulgaria,2019,9.0,9.0,9.0
BGR,Bulgaria,2020,9.0,8.0,9.0
BGR,Bulgaria,2021,9.444977729476522,8.0,9.0
BGR,Bulgaria,2022,9.660550548006167,8.0,9.222099303204606
BGR,Bulgaria,2023,9.444977729476522,8.0,9.0
BGR,Bulgaria,2024,9.657124350885065,8.799078113918316,9.540798397703078
BHR,Bahrain,2006,7.0,7.0,8.258154660946431
BHR,Bahrain,2007,6.0,6.0,7.534313230626073
BHR,Bahrain,2008,6.0,6.333333333333333,7.789121552147296
BHR,Bahrain,2009,6.0,6.666666666666667,8.043929873668517
BHR,Bahrain,2010,6.8445013780092285,7.0,8.264465344596783
BHR,Bahrain,2011,6.0,8.0,9.0
BHR,Bahrain,2012,9.0,8.5,9.25
BHR,Bahrain,2013,9.0,9.0,9.5
BHR,Bahrain,2014,9.0,9.5,10.088050003868982
BHR,Bahrain,2015,10.0,10.0,10.0
BHR,Bahrain,2016,11.0,11.0,12.0
BHR,Bahrain,2017,11.0,14.0,14.0
BHR,Bahrain,2018,13.0,15.0,14.0
BHR,Bahrain,2019,13.0,15.0,14.0
BHR,Bahrain,2020,14.0,15.0,14.089469637752613
BHR,Bahrain,2021,13.18797599491542,15.0,14.0
BHR,Bahrain,2022,13.18797599491542,15.0,14.0
BHR,Bahrain,2023,13.18797599491542,15.0,14.0
BHR,Bahrain,2024,13.197624310378112,15.0,14.122032879028378
BHS,Bahamas,2006,,9.432168671509736,10.786179121182291
BHS,Bahamas,2007,,9.432168671509736,10.786179121182291
BHS,Bahamas,2008,,9.432168671509736,10.786179121182291
BHS,Bahamas,2009,,6.691668298529802,8.0
BHS,Bahamas,2010,,7.183453800378789,8.5
BHS,Bahamas,2011,,7.675239302227776,9.0
BHS,Bahamas,2012,,8.0,9.25
BHS,Bahamas,2013,,8.5,9.5
BHS,Bahamas,2014,,9.0,10.35911210031727
BHS,Bahamas,2015,,9.0,10.0
BHS,Bahamas,2016,,9.0,11.0
BHS,Bahamas,2017,,10.0,11.25
BHS,Bahamas,2018,,10.0,11.5
BHS,Bahamas,2019,,10.0,11.347307332917328
BHS,Bahamas,2020,,10.0,12.0
BHS,Bahamas,2021,,13.0,14.0
BHS,Bahamas,2022,,14.0,15.30008826331756
BHS,Bahamas,2023,,9.432168671509736,10.786179121182291
BHS,Bahamas,2024,,9.432168671509736,10.786179121182291
BIH,Bosnia and Herzegovina,2006,,15.0,13.494281730938155
BIH,Bosnia and Herzegovina,2007,,15.166666666666666,13.744972996440024
BIH,Bosnia and Herzegovina,2008,,15.333333333333334,14.0
BIH,Bosnia and Herzegovina,2009,,15.561219277765671,14.333333333333334
BIH,Bosnia and Herzegovina,2010,,15.781439842246751,14.666666666666666
BIH,Bosnia and Herzegovina,2011,,16.001660406727837,15.0
BIH,Bosnia and Herzegovina,2012,,16.0,15.0
BIH,Bosnia and Herzegovina,2013,,16.0,15.0
BIH,Bosnia and Herzegovina,2014,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2015,,15.824684418152238,14.73472881349569
BIH,Bosnia and Herzegovina,2016,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2017,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2018,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2019,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2020,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2021,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2022,,16.0,14.99842932394936
BIH,Bosnia and Herzegovina,2023,,16.0,15.0
BIH,Bosnia and Herzegovina,2024,,16.0,14.99842932394936
BLR,Belarus,2006,15.67292563325129,16.328124999999996,16.01127237050385
BLR,Belarus,2007,14.338860454401232,14.0,15.089743682903052
BLR,Belarus,2008,14.482115775620032,14.25,15.188699783585015
BLR,Belarus,2009,14.62537109683883,14.5,15.28765588426698
BLR,Belarus,2010,15.67292563325129,16.328124999999996,16.01127237050385
BLR,Belarus,2011,14.964449004788184,15.0,16.0
BLR,Belarus,2012,15.213705127005657,15.5,15.833333333333334
BLR,Belarus,2013,15.46296124922313,16.0,15.666666666666666
BLR,Belarus,2014,15.771413666589217,16.5,16.0793046897227
BLR,Belarus,2015,16.057924309026816,17.0,16.27721689108663
BLR,Belarus,2016,16.0,17.0,16.270200108985108
BLR,Belarus,2017,16.0,16.5,15.0
BLR,Belarus,2018,15.0,16.0,15.6
BLR,Belarus,2019,15.0,16.0,16.2
BLR,Belarus,2020,15.0,16.0,15.822557364178868
BLR,Belarus,2021,16.5,16.0,16.004465021335175
BLR,Belarus,2022,18.0,20.0,18.0
BLR,Belarus,2023,18.350009448527587,21.0,17.860514501998072
BLR,Belarus,2024,15.67292563325129,16.328124999999996,16.01127237050385
BLZ,Belize,2006,,16.97222222222222,17.07507337976043
BLZ,Belize,2007,,17.0,17.07505926826804
BLZ,Belize,2008,,16.5,17.075313275131066
BLZ,Belize,2009,,16.0,17.075567281994097
BLZ,Belize,2010,,16.333333333333332,17.07539794408541
BLZ,Belize,2011,,16.666666666666668,16.0
BLZ,Belize,2012,,17.0,16.0
BLZ,Belize,2013,,18.0,16.0
BLZ,Belize,2014,,18.0,16.333333333333332
BLZ,Belize,2015,,18.0,16.666666666666668
BLZ,Belize,2016,,17.0,17.0
BLZ,Belize,2017,,16.0,17.25
BLZ,Belize,2018,,16.0,17.5
BLZ,Belize,2019,,16.0,17.075567281994097
BLZ,Belize,2020,,17.0,18.0
BLZ,Belize,2021,,17.5,20.0
BLZ,Belize,2022,,18.0,17.074551254541984
BLZ,Belize,2023,,17.5,17.07480526140501
BLZ,Belize,2024,,17.0,17.07505926826804
BOL,Bolivia,2006,14.324953448876412,14.405986238234744,14.999104516179054
BOL,Bolivia,2007,16.0,16.166655243988615,14.99642519506406
BOL,Bolivia,2008,15.5,15.641097044236766,14.997224970170016
BOL,Bolivia,2009,15.0,15.0,14.998078396624363
BOL,Bolivia,2010,14.0,14.0,14.999654210544197
BOL,Bolivia,2011,14.0,13.5,14.0
BOL,Bolivia,2012,13.0,13.0,13.0
BOL,Bolivia,2013,13.0,13.0,16.0
BOL,Bolivia,2014,13.0,13.0,12.0
BOL,Bolivia,2015,12.0,13.0,18.0
BOL,Bolivia,2016,13.0,13.0,18.5
BOL,Bolivia,2017,13.0,13.0,19.0
BOL,Bolivia,2018,13.0,13.0,13.0
BOL,Bolivia,2019,13.0,13.0,13.5
BOL,Bolivia,2020,15.0,14.0,14.0
BOL,Bolivia,2021,15.333333333333334,15.0,14.0
BOL,Bolivia,2022,15.666666666666666,16.0,15.0
BOL,Bolivia,2023,16.0,17.0,15.0
BOL,Bolivia,2024,18.349162079775432,19.0,14.992498518820357
BRA,Brazil,2006,12.0,12.0,12.431897898723095
BRA,Brazil,2007,12.0,11.0,11.781771215449906
BRA,Brazil,2008,10.0,10.5,10.0
BRA,Brazil,2009,10.0,10.0,9.666666666666666
BRA,Brazil,2010,10.0,9.5,9.333333333333334
BRA,Brazil,2011,9.0,9.0,9.0
BRA,Brazil,2012,9.0,9.0,9.333333333333334
BRA,Brazil,2013,9.0,9.0,9.666666666666666
BRA,Brazil,2014,9.0,9.0,10.0
BRA,Brazil,2015,9.0,10.0,11.0
BRA,Brazil,2016,12.0,12.0,12.0
BRA,Brazil,2017,12.0,12.0,12.5
BRA,Brazil,2018,13.0,12.0,13.0
BRA,Brazil,2019,13.0,12.0,13.0
BRA,Brazil,2020,13.0,12.0,13.0
BRA,Brazil,2021,12.4471135331835,12.0,12.600058628843156
BRA,Brazil,2022,12.4471135331835,12.0,12.600058628843156
BRA,Brazil,2023,12.600411731075004,12.0,13.0
BRA,Brazil,2024,12.4471135331835,12.0,12.600058628843156
BRB,Barbados,2006,,15.05354162370891,14.32271012455651
BRB,Barbados,2007,,15.05354162370891,14.32271012455651
BRB,Barbados,2008,,15.05354162370891,14.32271012455651
BRB,Barbados,2009,,10.0,10.144831631493007
BRB,Barbados,2010,,10.333333333333334,10.0
BRB,Barbados,2011,,10.666666666666666,10.5
BRB,Barbados,2012,,11.0,11.0
BRB,Barbados,2013,,13.0,13.0
BRB,Barbados,2014,,16.0,15.0
BRB,Barbados,2015,,16.5,15.5
BRB,Barbados,2016,,17.0,16.0
BRB,Barbados,2017,,19.0,17.0
BRB,Barbados,2018,,18.0,16.5
BRB,Barbados,2019,,17.0,16.0
BRB,Barbados,2020,,17.0,16.0
BRB,Barbados,2021,,17.0,16.0
BRB,Barbados,2022,,16.5,15.518530361411097
BRB,Barbados,2023,,16.0,16.0
BRB,Barbados,2024,,15.856665979342502,15.0
BWA,Botswana,2006,,6.231601870456803,7.471259388721521
BWA,Botswana,2007,,6.231601870456803,7.471259388721521
BWA,Botswana,2008,,6.231601870456803,7.471259388721521
BWA,Botswana,2009,,6.0,7.382673770480347
BWA,Botswana,2010,,6.0,7.0
BWA,Botswana,2011,,6.0,7.1
BWA,Botswana,2012,,6.01082431593843,7.2
BWA,Botswana,2013,,6.231601870456803,7.471259388721521
BWA,Botswana,2014,,6.231601870456803,7.471259388721521
BWA,Botswana,2015,,6.0,7.382673770480347
BWA,Botswana,2016,,6.0,7.382673770480347
BWA,Botswana,2017,,6.0,7.382673770480347
BWA,Botswana,2018,,6.0,7.382673770480347
BWA,Botswana,2019,,6.0,7.382673770480347
BWA,Botswana,2020,,6.0,8.0
BWA,Botswana,2021,,7.0,8.0
BWA,Botswana,2022,,7.0,7.7651647152488446
BWA,Botswana,2023,,7.0,7.7651647152488446
BWA,Botswana,2024,,6.231601870456803,7.471259388721521
CAN,Canada,2006,9.3947152181023,8.091707209551746,8.600357392999129
CAN,Canada,2007,9.3947152181023,8.091707209551746,8.600357392999129
CAN,Canada,2008,11.0,8.610223081512629,9.1486283995397
CAN,Canada,2009,10.5,8.448799480866837,8.977896850723528
CAN,Canada,2010,10.0,10.0,10.0
CAN,Canada,2011,9.0,9.5,9.5
CAN,Canada,2012,9.0,9.0,9.0
CAN,Canada,2013,9.0,9.0,8.857142857142858
CAN,Canada,2014,9.0,9.0,8.714285714285714
CAN,Canada,2015,9.0,9.0,8.976943711377233
CAN,Canada,2016,9.0,1.0,5.027117218269401
CAN,Canada,2017,9.0,9.0,8.976943711377233
CAN,Canada,2018,9.0,1.0,5.027117218269401
CAN,Canada,2019,9.0,8.0,8.0
CAN,Canada,2020,9.0,8.0,9.0
CAN,Canada,2021,10.0,9.0,9.0
CAN,Canada,2022,9.399651949253403,9.0,9.0
CAN,Canada,2023,9.403798485676663,10.0,9.0
CAN,Canada,2024,9.406708272809023,10.0,10.0
CHE,Switzerland,2006,1.0,1.0,
CHE,Switzerland,2007,1.0,1.0,
CHE,Switzerland,2008,1.0,1.0,
CHE,Switzerland,2009,1.0,1.0,
CHE,Switzerland,2010,1.0,1.0,
CHE,Switzerland,2011,1.0,1.0,
CHE,Switzerland,2012,1.0,1.0,
CHE,Switzerland,2013,1.0,1.0,
CHE,Switzerland,2014,1.0,1.0,
CHE,Switzerland,2015,1.0,1.0,
CHE,Switzerland,2016,1.0,1.0,
CHE,Switzerland,2017,1.0,1.0,
CHE,Switzerland,2018,1.0,1.0,
CHE,Switzerland,2019,1.0,1.0,
CHE,Switzerland,2020,1.0,1.0,
CHE,Switzerland,2021,1.0,1.0,
CHE,Switzerland,2022,1.0,1.0,
CHE,Switzerland,2023,1.0,1.0,
CHE,Switzerland,2024,1.0,1.0,
CHL,Chile,2006,6.69235519020187,6.0,5.850223214671004
CHL,Chile,2007,6.0,5.666666666666667,5.0
CHL,Chile,2008,6.0,5.333333333333333,4.8
CHL,Chile,2009,5.666666666666667,5.0,4.6
CHL,Chile,2010,5.333333333333333,4.0,4.491389281715701
CHL,Chile,2011,5.0,4.0,4.13908233884858
CHL,Chile,2012,5.0,4.0,4.0
CHL,Chile,2013,5.0,4.0,4.2
CHL,Chile,2014,5.0,4.0,4.4
CHL,Chile,2015,5.0,4.0,4.13908233884858
CHL,Chile,2016,5.0,4.0,4.13908233884858
CHL,Chile,2017,6.0,4.0,5.0
CHL,Chile,2018,6.0,5.0,5.25
CHL,Chile,2019,6.0,5.0,5.5
CHL,Chile,2020,6.0,5.0,5.157230880403167
CHL,Chile,2021,6.67956073048973,5.5,6.0
CHL,Chile,2022,6.797982267018538,6.0,6.0
CHL,Chile,2023,6.797982267018538,6.0,6.0
CHL,Chile,2024,6.797982267018538,6.0,6.0
CHN,China,2006,6.0,7.829565664341423,8.03861752791034
CHN,China,2007,5.0,5.0,4.994312562352926
CHN,China,2008,5.0,4.666666666666667,4.730841430287218
CHN,China,2009,5.0,4.333333333333333,4.467370298221509
CHN,China,2010,4.7803374771525,4.0,4.0
CHN,China,2011,5.0,4.0,4.142857142857143
CHN,China,2012,5.0,4.0,4.285714285714286
CHN,China,2013,5.0,4.0,4.203899166155801
CHN,China,2014,5.0,4.0,4.203899166155801
CHN,China,2015,5.0,4.0,4.203899166155801
CHN,China,2016,5.0,4.0,4.203899166155801
CHN,China,2017,5.0,5.0,5.0
CHN,China,2018,5.0,5.0,4.994312562352926
CHN,China,2019,5.0,5.0,4.994312562352926
CHN,China,2020,5.091530862109792,5.0,5.068249211949722
CHN,China,2021,5.091530862109792,5.0,5.068249211949722
CHN,China,2022,5.091530862109792,5.0,5.068249211949722
CHN,China,2023,5.091530862109792,5.0,5.068249211949722
CHN,China,2024,5.063692273643983,4.712753648018956,4.8187184380261785
COL,Colombia,2006,12.0,10.68599119214392,10.18598053979968
COL,Colombia,2007,11.0,10.105796762788408,10.131001953315694
COL,Colombia,2008,11.0,11.0,9.197185229568358
COL,Colombia,2009,11.0,10.666666666666666,9.545285335110089
COL,Colombia,2010,11.0,10.333333333333334,9.893385440651818
COL,Colombia,2011,10.0,10.0,10.0
COL,Colombia,2012,10.0,10.0,9.5
COL,Colombia,2013,10.0,10.0,9.0
COL,Colombia,2014,9.0,9.0,9.25
COL,Colombia,2015,9.0,9.0,9.5
COL,Colombia,2016,9.0,9.0,9.964034237290504
COL,Colombia,2017,9.0,9.0,10.0
COL,Colombia,2018,9.0,9.0,10.25
COL,Colombia,2019,9.0,9.0,10.5
COL,Colombia,2020,10.0,9.0,10.624910050054622
COL,Colombia,2021,11.0,9.0,11.0
COL,Colombia,2022,10.13995751038107,9.0,11.0
COL,Colombia,2023,10.13995751038107,9.0,11.0
COL,Colombia,2024,10.13995751038107,9.0,11.0
CRI,Costa Rica,2006,12.0,12.048709744664995,13.518292842685687
CRI,Costa Rica,2007,11.8,11.790653594121736,13.399769124766728
CRI,Costa Rica,2008,11.6,11.532597443578474,13.281245406847766
CRI,Costa Rica,2009,12.15039630541022,12.242886710131408,13.60745264197945
CRI,Costa Rica,2010,10.653398628785505,10.0,12.639252389393356
CRI,Costa Rica,2011,11.0,10.0,12.728230949258682
CRI,Costa Rica,2012,11.0,10.0,12.728230949258682
CRI,Costa Rica,2013,11.0,10.0,12.728230949258682
CRI,Costa Rica,2014,11.0,11.0,12.988562906407232
CRI,Costa Rica,2015,11.0,11.0,12.988562906407232
CRI,Costa Rica,2016,11.0,11.0,13.0
CRI,Costa Rica,2017,12.0,12.0,13.5
CRI,Costa Rica,2018,12.0,14.0,14.0
CRI,Costa Rica,2019,14.0,14.5,14.5
CRI,Costa Rica,2020,15.0,15.0,15.0
CRI,Costa Rica,2021,14.333333333333334,15.0,15.0
CRI,Costa Rica,2022,13.666666666666666,14.5,15.0
CRI,Costa Rica,2023,13.0,14.0,14.0
CRI,Costa Rica,2024,12.653734868598354,13.0,13.933769131345954
CYP,Cyprus,2006,9.922304519509566,10.583333333333334,9.715648309650064
CYP,Cyprus,2007,4.0,5.0,5.3749076747506255
CYP,Cyprus,2008,4.75,4.0,4.952177983179345
CYP,Cyprus,2009,5.5,4.666666666666667,5.478871436237016
CYP,Cyprus,2010,5.827448810962392,5.333333333333333,5.922787564784385
CYP,Cyprus,2011,7.0,6.0,8.0
CYP,Cyprus,2012,10.0,11.0,11.0
CYP,Cyprus,2013,15.0,19.0,18.0
CYP,Cyprus,2014,16.0,19.0,15.0
CYP,Cyprus,2015,16.0,14.0,13.0
CYP,Cyprus,2016,14.0,14.0,12.0
CYP,Cyprus,2017,13.0,13.0,11.0
