date,country,trade_payment_pillar_score
2023-01-01,Afghanistan,1.1257784033899338
2023-02-01,Afghanistan,1.1257784033899338
2023-03-01,Afghanistan,1.1257784033899338
2023-04-01,Afghanistan,1.1329572390836287
2023-05-01,Afghanistan,1.1329572390836287
2023-06-01,Afghanistan,1.1329572390836287
2023-07-01,Afghanistan,1.1436831524408688
2023-08-01,Afghanistan,1.1436831524408688
2023-09-01,Afghanistan,1.1436831524408688
2023-10-01,Afghanistan,1.1425040202964862
2023-11-01,Afghanistan,1.1425040202964862
2023-12-01,Afghanistan,1.1425040202964862
2024-01-01,Afghanistan,1.157014486130669
2024-02-01,Afghanistan,1.157014486130669
2024-03-01,Afghanistan,1.157014486130669
2024-04-01,Afghanistan,1.157014486130669
2024-05-01,Afghanistan,1.157014486130669
2024-06-01,Afghanistan,1.157014486130669
2024-07-01,Afghanistan,1.157014486130669
2024-08-01,Afghanistan,1.157014486130669
2024-09-01,Afghanistan,1.157014486130669
2024-10-01,Afghanistan,1.157014486130669
2024-11-01,Afghanistan,1.157014486130669
2024-12-01,Afghanistan,1.157014486130669
2025-01-01,Afghanistan,1.2605158966124275
2025-02-01,Afghanistan,1.2605158966124275
2025-03-01,Afghanistan,1.2605158966124275
2025-04-01,Afghanistan,1.260826229119548
2023-01-01,Albania,0.6846815511339148
2023-02-01,Albania,0.6846815511339148
2023-03-01,Albania,0.6846815511339148
2023-04-01,Albania,0.6207317082511559
2023-05-01,Albania,0.6207317082511559
2023-06-01,Albania,0.6207317082511559
2023-07-01,Albania,0.6294637145762859
2023-08-01,Albania,0.6294637145762859
2023-09-01,Albania,0.6294637145762859
2023-10-01,Albania,0.6331399757610484
2023-11-01,Albania,0.6331399757610484
2023-12-01,Albania,0.6331399757610484
2024-01-01,Albania,0.646567604980775
2024-02-01,Albania,0.646567604980775
2024-03-01,Albania,0.646567604980775
2024-04-01,Albania,0.646567604980775
2024-05-01,Albania,0.646567604980775
2024-06-01,Albania,0.646567604980775
2024-07-01,Albania,0.646567604980775
2024-08-01,Albania,0.646567604980775
2024-09-01,Albania,0.646567604980775
2024-10-01,Albania,0.646567604980775
2024-11-01,Albania,0.646567604980775
2024-12-01,Albania,0.646567604980775
2025-01-01,Albania,-0.11275537455464814
2025-02-01,Albania,-0.11275537455464814
2025-03-01,Albania,-0.11275537455464814
2025-04-01,Albania,-0.33306245725063094
2023-01-01,Algeria,0.6135459044870203
2023-02-01,Algeria,0.6135459044870203
2023-03-01,Algeria,0.6135459044870203
2023-04-01,Algeria,0.1796496239329599
2023-05-01,Algeria,0.1796496239329599
2023-06-01,Algeria,0.1796496239329599
2023-07-01,Algeria,0.1869076214999537
2023-08-01,Algeria,0.1869076214999537
2023-09-01,Algeria,0.1869076214999537
2023-10-01,Algeria,0.19497535286059314
2023-11-01,Algeria,0.19497535286059314
2023-12-01,Algeria,0.19497535286059314
2024-01-01,Algeria,0.2074446240061981
2024-02-01,Algeria,0.2074446240061981
2024-03-01,Algeria,0.2074446240061981
2024-04-01,Algeria,0.2074446240061981
2024-05-01,Algeria,0.2074446240061981
2024-06-01,Algeria,0.2074446240061981
2024-07-01,Algeria,0.2074446240061981
2024-08-01,Algeria,0.2074446240061981
2024-09-01,Algeria,0.2074446240061981
2024-10-01,Algeria,0.2074446240061981
2024-11-01,Algeria,0.2074446240061981
2024-12-01,Algeria,0.2074446240061981
2025-01-01,Algeria,0.31753737820345007
2025-02-01,Algeria,0.31753737820345007
2025-03-01,Algeria,0.31753737820345007
2025-04-01,Algeria,0.3173940220940789
2023-01-01,American Samoa,-1.3356824997284376
2023-02-01,American Samoa,-1.3356824997284376
2023-03-01,American Samoa,-1.3356824997284376
2023-04-01,American Samoa,-1.328584158099387
2023-05-01,American Samoa,-1.328584158099387
2023-06-01,American Samoa,-1.328584158099387
2023-07-01,American Samoa,-1.3305986434001424
2023-08-01,American Samoa,-1.3305986434001424
2023-09-01,American Samoa,-1.3305986434001424
2023-10-01,American Samoa,-1.3111805945646036
2023-11-01,American Samoa,-1.3111805945646036
2023-12-01,American Samoa,-1.3111805945646036
2024-01-01,American Samoa,-1.3015368595981365
2024-02-01,American Samoa,-1.3015368595981365
2024-03-01,American Samoa,-1.3015368595981365
2024-04-01,American Samoa,-1.3015368595981365
2024-05-01,American Samoa,-1.3015368595981365
2024-06-01,American Samoa,-1.3015368595981365
2024-07-01,American Samoa,-1.3015368595981365
2024-08-01,American Samoa,-1.3015368595981365
2024-09-01,American Samoa,-1.3015368595981365
2024-10-01,American Samoa,-1.3015368595981365
2024-11-01,American Samoa,-1.3015368595981365
2024-12-01,American Samoa,-1.3015368595981365
2025-01-01,American Samoa,-1.193826033499776
2025-02-01,American Samoa,-1.193826033499776
2025-03-01,American Samoa,-1.193826033499776
2025-04-01,American Samoa,-1.2022797425851326
2023-01-01,Andorra,-1.5490894396691217
2023-02-01,Andorra,-1.5490894396691217
2023-03-01,Andorra,-1.5490894396691217
2023-04-01,Andorra,-1.5420144976422172
2023-05-01,Andorra,-1.5420144976422172
2023-06-01,Andorra,-1.5420144976422172
2023-07-01,Andorra,-1.545588677764895
2023-08-01,Andorra,-1.545588677764895
2023-09-01,Andorra,-1.545588677764895
2023-10-01,Andorra,-1.5247788594695517
2023-11-01,Andorra,-1.5247788594695517
2023-12-01,Andorra,-1.5247788594695517
2024-01-01,Andorra,-1.515508560124088
2024-02-01,Andorra,-1.515508560124088
2024-03-01,Andorra,-1.515508560124088
2024-04-01,Andorra,-1.515508560124088
2024-05-01,Andorra,-1.515508560124088
2024-06-01,Andorra,-1.515508560124088
2024-07-01,Andorra,-1.515508560124088
2024-08-01,Andorra,-1.515508560124088
2024-09-01,Andorra,-1.515508560124088
2024-10-01,Andorra,-1.515508560124088
2024-11-01,Andorra,-1.515508560124088
2024-12-01,Andorra,-1.515508560124088
2025-01-01,Andorra,-1.408972409878825
2025-02-01,Andorra,-1.408972409878825
2025-03-01,Andorra,-1.408972409878825
2025-04-01,Andorra,-1.4190985690333693
2023-01-01,Angola,0.6846815511339148
2023-02-01,Angola,0.6846815511339148
2023-03-01,Angola,0.6846815511339148
2023-04-01,Angola,0.6918751547654326
2023-05-01,Angola,0.6918751547654326
2023-06-01,Angola,0.6918751547654326
2023-07-01,Angola,0.7011270593645368
2023-08-01,Angola,0.7011270593645368
2023-09-01,Angola,0.7011270593645368
2023-10-01,Angola,0.7043393973960312
2023-11-01,Angola,0.7043393973960312
2023-12-01,Angola,0.7043393973960312
2024-01-01,Angola,0.7178915051560922
2024-02-01,Angola,0.7178915051560922
2024-03-01,Angola,0.7178915051560922
2024-04-01,Angola,0.7178915051560922
2024-05-01,Angola,0.7178915051560922
2024-06-01,Angola,0.7178915051560922
2024-07-01,Angola,0.7178915051560922
2024-08-01,Angola,0.7178915051560922
2024-09-01,Angola,0.7178915051560922
2024-10-01,Angola,0.7178915051560922
2024-11-01,Angola,0.7178915051560922
2024-12-01,Angola,0.7178915051560922
2025-01-01,Angola,0.8248843668044469
2025-02-01,Angola,0.8248843668044469
2025-03-01,Angola,0.8248843668044469
2025-04-01,Angola,0.8252465966815196
2023-01-01,Anguilla,-0.9088686198470696
2023-02-01,Anguilla,-0.9088686198470696
2023-03-01,Anguilla,-0.9088686198470696
2023-04-01,Anguilla,-0.9017234790137266
2023-05-01,Anguilla,-0.9017234790137266
2023-06-01,Anguilla,-0.9017234790137266
2023-07-01,Anguilla,-0.9006185746706368
2023-08-01,Anguilla,-0.9006185746706368
2023-09-01,Anguilla,-0.9006185746706368
2023-10-01,Anguilla,-0.883984064754707
2023-11-01,Anguilla,-0.883984064754707
2023-12-01,Anguilla,-0.883984064754707
2024-01-01,Anguilla,-0.8735934585462334
2024-02-01,Anguilla,-0.8735934585462334
2024-03-01,Anguilla,-0.8735934585462334
2024-04-01,Anguilla,-0.8735934585462334
2024-05-01,Anguilla,-0.8735934585462334
2024-06-01,Anguilla,-0.8735934585462334
2024-07-01,Anguilla,-0.8735934585462334
2024-08-01,Anguilla,-0.8735934585462334
2024-09-01,Anguilla,-0.8735934585462334
2024-10-01,Anguilla,-0.8735934585462334
2024-11-01,Anguilla,-0.8735934585462334
2024-12-01,Anguilla,-0.8735934585462334
2025-01-01,Anguilla,-0.7635332807416777
2025-02-01,Anguilla,-0.7635332807416777
2025-03-01,Anguilla,-0.7635332807416777
2025-04-01,Anguilla,-0.7686420896886594
2023-01-01,Antarctica,-1.5490894396691217
2023-02-01,Antarctica,-1.5490894396691217
2023-03-01,Antarctica,-1.5490894396691217
2023-04-01,Antarctica,-1.5420144976422172
2023-05-01,Antarctica,-1.5420144976422172
2023-06-01,Antarctica,-1.5420144976422172
2023-07-01,Antarctica,-1.545588677764895
2023-08-01,Antarctica,-1.545588677764895
2023-09-01,Antarctica,-1.545588677764895
2023-10-01,Antarctica,-1.5247788594695517
2023-11-01,Antarctica,-1.5247788594695517
2023-12-01,Antarctica,-1.5247788594695517
2024-01-01,Antarctica,-1.515508560124088
2024-02-01,Antarctica,-1.515508560124088
2024-03-01,Antarctica,-1.515508560124088
2024-04-01,Antarctica,-1.515508560124088
2024-05-01,Antarctica,-1.515508560124088
2024-06-01,Antarctica,-1.515508560124088
2024-07-01,Antarctica,-1.515508560124088
2024-08-01,Antarctica,-1.515508560124088
2024-09-01,Antarctica,-1.515508560124088
2024-10-01,Antarctica,-1.515508560124088
2024-11-01,Antarctica,-1.515508560124088
2024-12-01,Antarctica,-1.515508560124088
2025-01-01,Antarctica,-1.408972409878825
2025-02-01,Antarctica,-1.408972409878825
2025-03-01,Antarctica,-1.408972409878825
2025-04-01,Antarctica,-1.4190985690333693
2023-01-01,Argentina,1.1257784033899338
2023-02-01,Argentina,1.1257784033899338
2023-03-01,Argentina,1.1257784033899338
2023-04-01,Argentina,1.1329572390836287
2023-05-01,Argentina,1.1329572390836287
2023-06-01,Argentina,1.1329572390836287
2023-07-01,Argentina,1.1436831524408688
2023-08-01,Argentina,1.1436831524408688
2023-09-01,Argentina,1.1436831524408688
2023-10-01,Argentina,1.1425040202964862
2023-11-01,Argentina,1.1425040202964862
2023-12-01,Argentina,1.1425040202964862
2024-01-01,Argentina,1.157014486130669
2024-02-01,Argentina,1.157014486130669
2024-03-01,Argentina,1.157014486130669
2024-04-01,Argentina,1.157014486130669
2024-05-01,Argentina,1.157014486130669
2024-06-01,Argentina,1.157014486130669
2024-07-01,Argentina,1.157014486130669
2024-08-01,Argentina,1.157014486130669
2024-09-01,Argentina,1.157014486130669
2024-10-01,Argentina,1.157014486130669
2024-11-01,Argentina,1.157014486130669
2024-12-01,Argentina,1.157014486130669
2025-01-01,Argentina,0.8248843668044469
2025-02-01,Argentina,0.8248843668044469
2025-03-01,Argentina,0.8248843668044469
2025-04-01,Argentina,0.7529736545321073
2023-01-01,Armenia,0.6846815511339148
2023-02-01,Armenia,0.6846815511339148
2023-03-01,Armenia,0.6846815511339148
2023-04-01,Armenia,0.6918751547654326
2023-05-01,Armenia,0.6918751547654326
2023-06-01,Armenia,0.6918751547654326
2023-07-01,Armenia,0.7011270593645368
2023-08-01,Armenia,0.7011270593645368
2023-09-01,Armenia,0.7011270593645368
2023-10-01,Armenia,0.7043393973960312
2023-11-01,Armenia,0.7043393973960312
2023-12-01,Armenia,0.7043393973960312
2024-01-01,Armenia,0.7178915051560922
2024-02-01,Armenia,0.7178915051560922
2024-03-01,Armenia,0.7178915051560922
